gene	chromosome	posStart	posEnd	exonRank	medianDepth
PARD3	10	34663792	34663940	11	0
PARD3	10	34666885	34667044	10	0
PARD3	10	34671458	34671860	9	0
PARD3	10	34673047	34673192	8	0
PARD3	10	34688248	34688351	7	0
PARD3	10	34690744	34690855	6	0
PARD3	10	34739235	34739386	5	0
PARD3	10	34759003	34759201	4	0
PARD3	10	34805897	34806097	3	0
PARD3	10	34985236	34985357	2	0
PARD3	10	35103794	35103923	1	0
ABCB1	7	87133559	87133775	29	29
ABCB1	7	87135203	87135369	28	32
ABCB1	7	87138581	87138807	27	31
ABCB1	7	87144537	87144754	26	36
ABCB1	7	87145815	87145991	25	36
ABCB1	7	87148632	87148792	24	41
ABCB1	7	87150082	87150202	23	29
ABCB1	7	87160600	87160823	22	39
ABCB1	7	87165764	87165867	21	27
ABCB1	7	87168574	87168671	20	39
ABCB1	7	87170663	87170790	19	35
ABCB1	7	87173435	87173601	18	36
ABCB1	7	87174129	87174325	17	38
ABCB1	7	87175169	87175350	16	36
ABCB1	7	87178654	87178844	15	27
ABCB1	7	87179157	87179380	14	36
ABCB1	7	87179477	87179622	13	36
ABCB1	7	87179774	87179904	12	32
ABCB1	7	87180031	87180164	11	36
ABCB1	7	87183067	87183258	10	24
ABCB1	7	87190569	87190713	9	27
ABCB1	7	87195376	87195567	8	32
ABCB1	7	87196091	87196302	7	36
ABCB1	7	87199478	87199549	6	34
ABCB1	7	87214818	87215006	5	22
ABCB1	7	87225072	87225140	4	32
ABCB1	7	87229423	87229500	3	35
GATA6	18	19751106	19752250	2	0
GATA6	18	19756906	19757092	3	0
GATA6	18	19761404	19761549	4	0
GATA6	18	19762708	19762815	5	0
GATA6	18	19762891	19763014	6	0
GATA6	18	19780609	19780786	7	0
GATA3	10	8097619	8097869	2	45
GATA3	10	8100258	8100814	3	37
GATA3	10	8105946	8106111	4	37
GATA3	10	8111426	8111571	5	38
GATA3	10	8115692	8115986	6	28
GATA2	3	128199862	128200171	6	57
GATA2	3	128200652	128200797	5	41
GATA2	3	128202693	128202858	4	30
GATA2	3	128204560	128205221	3	36
GATA2	3	128205636	128205874	2	46
GATA1	X	48649517	48649746	2	15
GATA1	X	48650241	48650638	3	24
GATA1	X	48650720	48650885	4	13
GATA1	X	48651569	48651714	5	18
GATA1	X	48652190	48652571	6	16
HIF1A	14	62164569	62164682	1	32
HIF1A	14	62187087	62187300	2	35
HIF1A	14	62188217	62188382	3	44
HIF1A	14	62188447	62188551	4	34
HIF1A	14	62193414	62193546	5	27
HIF1A	14	62194161	62194383	6	41
HIF1A	14	62199126	62199252	7	34
HIF1A	14	62200846	62201013	8	44
HIF1A	14	62203597	62203837	9	31
HIF1A	14	62204795	62205101	10	33
HIF1A	14	62207213	62207355	11	46
HIF1A	14	62207463	62207916	12	39
HIF1A	14	62211413	62211541	13	27
HIF1A	14	62212399	62212545	14	23
HIF1A	14	62213642	62213803	15	33
GRIN2A	16	9857006	9858815	14	28
GRIN2A	16	9862698	9862956	13	29
GRIN2A	16	9892124	9892331	12	30
GRIN2A	16	9916111	9916291	11	24
GRIN2A	16	9923270	9923519	10	29
GRIN2A	16	9927952	9928097	9	30
GRIN2A	16	9934494	9934667	8	33
GRIN2A	16	9934783	9934971	7	31
GRIN2A	16	9943603	9943828	6	24
GRIN2A	16	9984833	9984967	5	37
GRIN2A	16	10031806	10032418	4	32
GRIN2A	16	10273845	10274268	3	39
TERT	5	1253843	1253956	16	51
TERT	5	1254473	1254630	15	34
TERT	5	1255392	1255536	14	35
TERT	5	1258703	1258784	13	49
TERT	5	1260579	1260725	12	35
TERT	5	1264509	1264717	11	34
TERT	5	1266569	1266660	10	38
TERT	5	1268625	1268758	9	33
TERT	5	1271224	1271329	8	48
TERT	5	1272290	1272405	7	43
TERT	5	1278746	1278921	6	47
TERT	5	1279396	1279595	5	37
TERT	5	1280263	1280463	4	43
TERT	5	1282534	1282749	3	40
TERT	5	1293418	1294791	2	45
TERT	5	1294876	1295104	1	49
NTHL1	16	2089925	2090058	6	40
NTHL1	16	2090124	2090249	5	44
NTHL1	16	2093558	2093737	4	47
NTHL1	16	2094621	2094811	3	39
NTHL1	16	2096119	2096377	2	33
NTHL1	16	2097700	2097848	1	46
RAD21	8	117859739	117859940	14	29
RAD21	8	117861175	117861278	13	36
RAD21	8	117862847	117863016	12	31
RAD21	8	117864177	117864345	11	42
RAD21	8	117864778	117864957	10	31
RAD21	8	117866474	117866717	9	36
RAD21	8	117868395	117868537	8	26
RAD21	8	117868875	117869020	7	30
RAD21	8	117869496	117869722	6	28
RAD21	8	117870581	117870707	5	36
RAD21	8	117874070	117874189	4	27
RAD21	8	117875359	117875508	3	46
RAD21	8	117878815	117878968	2	26
PLCG1	20	39766282	39766508	1	39
PLCG1	20	39788236	39788408	2	29
PLCG1	20	39788500	39788613	3	37
PLCG1	20	39788736	39788803	4	48
PLCG1	20	39791082	39791186	5	36
PLCG1	20	39791272	39791375	6	33
PLCG1	20	39791588	39791642	7	29
PLCG1	20	39791833	39791925	8	25
PLCG1	20	39792008	39792129	9	27
PLCG1	20	39792345	39792483	10	36
PLCG1	20	39792551	39792656	11	37
PLCG1	20	39792711	39792851	12	38
PLCG1	20	39793563	39793751	13	37
PLCG1	20	39793875	39794017	14	36
PLCG1	20	39794080	39794201	15	39
PLCG1	20	39794269	39794476	16	35
PLCG1	20	39794824	39795044	17	44
PLCG1	20	39795106	39795245	18	52
PLCG1	20	39795309	39795509	19	36
PLCG1	20	39796482	39796579	20	43
PLCG1	20	39797397	39797520	21	53
PLCG1	20	39797709	39797825	22	42
PLCG1	20	39798087	39798176	23	40
PLCG1	20	39798742	39798919	24	33
PLCG1	20	39800823	39800939	25	32
PLCG1	20	39801051	39801295	26	38
PLCG1	20	39801359	39801527	27	27
PLCG1	20	39802050	39802184	28	35
PLCG1	20	39802282	39802463	29	29
PLCG1	20	39802553	39802661	30	43
PLCG1	20	39802754	39802961	31	32
PLCG1	20	39803097	39803149	32	34
ZBTB7B	1	154983396	154983501	3	43
ZBTB7B	1	154987121	154988300	4	45
ZBTB7B	1	154988686	154989161	5	41
ATG7	3	11340170	11340339	2	0
ATG7	3	11340826	11340900	3	0
ATG7	3	11348407	11348544	4	0
ATG7	3	11350448	11350545	5	0
ATG7	3	11354768	11354904	6	0
ATG7	3	11356808	11356977	7	0
ATG7	3	11372804	11372912	8	0
ATG7	3	11374436	11374577	9	0
ATG7	3	11382109	11382219	10	0
ATG7	3	11383599	11383763	11	0
ATG7	3	11389341	11389519	12	0
ATG7	3	11399882	11400096	13	0
ATG7	3	11402045	11402268	14	0
ATG7	3	11404277	11404412	15	0
ATG7	3	11406123	11406218	16	0
ATG7	3	11421436	11421536	17	0
ATG7	3	11468268	11468410	18	0
ATG7	3	11596275	11596317	19	0
BARD1	2	215593400	215593742	11	29
BARD1	2	215595125	215595242	10	30
BARD1	2	215609781	215609893	9	38
BARD1	2	215610436	215610588	8	29
BARD1	2	215617161	215617289	7	32
BARD1	2	215632196	215632388	6	34
BARD1	2	215633946	215634046	5	40
BARD1	2	215645274	215646243	4	33
BARD1	2	215657011	215657179	3	31
BARD1	2	215661775	215661851	2	37
BARD1	2	215674126	215674293	1	32
CREBBP	16	3777719	3779885	31	40
CREBBP	16	3781183	3781484	30	36
CREBBP	16	3781767	3781948	29	44
CREBBP	16	3786027	3786214	28	39
CREBBP	16	3786641	3786826	27	36
CREBBP	16	3788550	3788683	26	32
CREBBP	16	3789569	3789735	25	38
CREBBP	16	3790390	3790560	24	30
CREBBP	16	3794885	3794972	23	42
CREBBP	16	3795268	3795365	22	35
CREBBP	16	3799618	3799694	21	31
CREBBP	16	3801717	3801817	20	33
CREBBP	16	3807279	3807387	19	40
CREBBP	16	3807800	3808059	18	27
CREBBP	16	3808845	3808983	17	35
CREBBP	16	3817711	3817920	16	26
CREBBP	16	3819165	3819364	15	35
CREBBP	16	3820561	3820997	14	35
CREBBP	16	3823742	3823941	13	26
CREBBP	16	3824560	3824704	12	31
CREBBP	16	3827604	3827668	11	42
CREBBP	16	3828002	3828193	10	44
CREBBP	16	3828691	3828828	9	35
CREBBP	16	3830723	3830889	8	38
CREBBP	16	3831195	3831317	7	33
CREBBP	16	3832675	3832937	6	28
CREBBP	16	3841972	3842105	5	36
CREBBP	16	3843377	3843637	4	35
CREBBP	16	3860594	3860790	3	39
CREBBP	16	3900288	3901020	2	40
CREBBP	16	3929823	3929917	1	31
MTHFR	1	11850737	11850965	11	31
MTHFR	1	11851254	11851393	10	33
MTHFR	1	11852325	11852446	9	24
MTHFR	1	11853954	11854156	8	35
MTHFR	1	11854405	11854605	7	32
MTHFR	1	11854776	11854930	6	46
MTHFR	1	11855145	11855415	5	36
MTHFR	1	11856253	11856466	4	34
MTHFR	1	11860259	11860389	3	32
MTHFR	1	11861208	11861466	2	31
MTHFR	1	11862928	11863173	1	43
BRAF	7	140434397	140434580	18	26
BRAF	7	140439602	140439756	17	29
BRAF	7	140449077	140449228	16	42
BRAF	7	140453065	140453203	15	26
BRAF	7	140453977	140454043	14	29
BRAF	7	140476702	140476898	13	30
BRAF	7	140477781	140477885	12	37
BRAF	7	140481366	140481503	11	21
BRAF	7	140482811	140482967	10	34
BRAF	7	140487338	140487394	9	25
BRAF	7	140494098	140494277	8	31
BRAF	7	140500152	140500291	7	28
BRAF	7	140501202	140501370	6	27
BRAF	7	140507750	140507872	5	35
BRAF	7	140508682	140508805	4	35
BRAF	7	140534399	140534682	3	22
BRAF	7	140549901	140550022	2	46
BRAF	7	140624356	140624503	1	35
OR4N2	14	20295608	20296531	1	47
H1-2	6	26056015	26056656	1	41
FOSL2	2	28616588	28616699	1	44
FOSL2	2	28626964	28627235	2	34
FOSL2	2	28631616	28631743	3	30
FOSL2	2	28634787	28635315	4	30
CYLD	16	50783610	50784123	2	34
CYLD	16	50785505	50785827	3	30
CYLD	16	50788220	50788345	4	36
CYLD	16	50809067	50809095	5	26
CYLD	16	50810080	50810198	6	31
CYLD	16	50811726	50811862	7	39
CYLD	16	50813566	50813965	8	28
CYLD	16	50815147	50815332	9	42
CYLD	16	50816226	50816387	10	45
CYLD	16	50818230	50818372	11	29
CYLD	16	50820756	50820867	12	36
CYLD	16	50821687	50821773	13	41
CYLD	16	50825459	50825611	14	42
CYLD	16	50826498	50826626	15	23
CYLD	16	50827447	50827585	16	25
CYLD	16	50828113	50828349	17	34
CYLD	16	50830225	50830419	18	28
FAT1	4	187509746	187510384	27	31
FAT1	4	187516833	187516990	26	29
FAT1	4	187517684	187518335	25	32
FAT1	4	187518826	187518956	24	39
FAT1	4	187519116	187519289	23	38
FAT1	4	187521042	187521524	22	40
FAT1	4	187522413	187522590	21	34
FAT1	4	187524047	187524198	20	27
FAT1	4	187524320	187525141	19	30
FAT1	4	187525521	187525738	18	26
FAT1	4	187527214	187527377	17	29
FAT1	4	187530327	187530484	16	26
FAT1	4	187530945	187531179	15	27
FAT1	4	187532530	187532939	14	36
FAT1	4	187534253	187534506	13	28
FAT1	4	187535335	187535508	12	31
FAT1	4	187538149	187538365	11	35
FAT1	4	187538852	187542939	10	30
FAT1	4	187549298	187549528	9	31
FAT1	4	187549632	187549927	8	28
FAT1	4	187554828	187554987	7	32
FAT1	4	187557169	187557399	6	28
FAT1	4	187557729	187558078	5	33
FAT1	4	187560866	187560947	4	40
FAT1	4	187584443	187584777	3	31
FAT1	4	187627707	187630981	2	30
CDK12	17	37618325	37619380	1	32
CDK12	17	37627122	37628026	2	29
CDK12	17	37646800	37646996	3	32
CDK12	17	37648994	37649153	4	34
CDK12	17	37650767	37650957	5	29
CDK12	17	37657493	37657702	6	33
CDK12	17	37665948	37666024	7	44
CDK12	17	37667772	37667893	8	48
CDK12	17	37671974	37672071	9	37
CDK12	17	37673683	37673819	10	32
CDK12	17	37676199	37676350	11	24
CDK12	17	37680917	37681148	12	31
CDK12	17	37682107	37682579	13	40
CDK12	17	37686847	37687569	14	34
FAT4	4	126237567	126242751	1	34
FAT4	4	126319929	126320080	2	35
FAT4	4	126328025	126328306	3	28
FAT4	4	126329589	126329959	4	35
FAT4	4	126336029	126336971	5	26
FAT4	4	126337593	126337787	6	36
FAT4	4	126355390	126355590	7	31
FAT4	4	126367444	126367708	8	30
FAT4	4	126369606	126373975	9	32
FAT4	4	126384708	126384832	10	32
FAT4	4	126389657	126389984	11	31
FAT4	4	126397316	126397421	12	37
FAT4	4	126398300	126398499	13	31
FAT4	4	126400886	126401030	14	39
FAT4	4	126402666	126402903	15	38
FAT4	4	126408490	126408771	16	22
FAT4	4	126411046	126412923	17	31
EZH2	7	148504738	148504808	20	25
EZH2	7	148506153	148506257	19	25
EZH2	7	148506392	148506492	18	39
EZH2	7	148507415	148507516	17	36
EZH2	7	148508707	148508822	16	29
EZH2	7	148511041	148511239	15	36
EZH2	7	148511996	148512141	14	46
EZH2	7	148512588	148512648	13	30
EZH2	7	148513766	148513880	12	37
EZH2	7	148514304	148514493	11	34
EZH2	7	148514959	148515219	10	33
EZH2	7	148516678	148516789	9	41
EZH2	7	148523536	148523734	8	34
EZH2	7	148524246	148524368	7	41
EZH2	7	148525822	148525982	6	26
EZH2	7	148526810	148526950	5	38
EZH2	7	148529716	148529852	4	43
EZH2	7	148543552	148543700	3	43
EZH2	7	148544264	148544390	2	37
RET	10	43572707	43572789	1	60
RET	10	43595897	43596180	2	33
RET	10	43597780	43598087	3	38
RET	10	43600390	43600651	4	34
RET	10	43601814	43602029	5	45
RET	10	43604469	43604688	6	39
RET	10	43606645	43606923	7	45
RET	10	43607537	43607682	8	47
RET	10	43608291	43608421	9	51
RET	10	43608994	43609133	10	33
RET	10	43609918	43610194	11	45
RET	10	43612022	43612189	12	41
RET	10	43613811	43613938	13	35
RET	10	43614969	43615203	14	50
RET	10	43615519	43615661	15	51
RET	10	43617384	43617474	16	48
RET	10	43619109	43619266	17	32
RET	10	43620321	43620440	18	34
RET	10	43622013	43622180	19	40
RET	10	43623550	43623717	20	37
CDKN1A	6	36651879	36652333	2	50
CDKN1A	6	36653518	36653577	3	36
SETD2	3	47058583	47058754	21	43
SETD2	3	47059118	47059239	20	37
SETD2	3	47061240	47061340	19	35
SETD2	3	47079146	47079277	18	33
SETD2	3	47084041	47084200	17	33
SETD2	3	47087967	47088121	16	30
SETD2	3	47098301	47098990	15	35
SETD2	3	47103643	47103846	14	31
SETD2	3	47108550	47108618	13	32
SETD2	3	47125200	47125882	12	35
SETD2	3	47127675	47127814	11	34
SETD2	3	47129593	47129747	10	34
SETD2	3	47139435	47139581	9	44
SETD2	3	47142938	47143055	8	34
SETD2	3	47144826	47144923	7	38
SETD2	3	47147477	47147620	6	42
SETD2	3	47155356	47155504	5	48
SETD2	3	47158103	47158254	4	36
SETD2	3	47161662	47166048	3	35
SETD2	3	47168128	47168163	2	33
SETD2	3	47205334	47205414	1	39
RARG	12	53605460	53605657	10	48
RARG	12	53606859	53607037	9	35
RARG	12	53607270	53607494	8	36
RARG	12	53607833	53608029	7	40
RARG	12	53608220	53608400	6	43
RARG	12	53609067	53609228	5	42
RARG	12	53609420	53609588	4	36
RARG	12	53621136	53621329	3	50
CDKN1B	12	12870774	12871258	1	45
CDKN1B	12	12871749	12871880	2	35
CTCF	16	67644736	67645526	3	32
CTCF	16	67645844	67646034	4	31
CTCF	16	67650638	67650791	5	28
CTCF	16	67654590	67654730	6	21
CTCF	16	67655335	67655504	7	43
CTCF	16	67660448	67660628	8	27
CTCF	16	67662263	67662465	9	39
CTCF	16	67663291	67663446	10	22
CTCF	16	67670583	67670764	11	33
CTCF	16	67671581	67671775	12	31
HOXC13	12	54332691	54333436	1	37
HOXC13	12	54338774	54339040	2	42
PHF6	X	133511648	133511795	2	16
PHF6	X	133512025	133512146	3	19
PHF6	X	133527521	133527674	4	18
PHF6	X	133527929	133527992	5	9
PHF6	X	133547511	133547697	6	17
PHF6	X	133547843	133548006	7	10
PHF6	X	133549036	133549160	8	16
PHF6	X	133551189	133551342	9	21
PHF6	X	133559221	133559360	10	14
MED12	X	70338605	70338713	1	16
MED12	X	70339213	70339337	2	16
MED12	X	70339526	70339737	3	17
MED12	X	70339854	70340030	4	16
MED12	X	70340811	70341012	5	12
MED12	X	70341167	70341297	6	22
MED12	X	70341402	70341676	7	17
MED12	X	70342040	70342206	8	15
MED12	X	70342348	70342467	9	18
MED12	X	70342578	70342734	10	15
MED12	X	70342935	70343086	11	17
MED12	X	70343434	70343580	12	18
MED12	X	70343999	70344248	13	19
MED12	X	70344604	70344704	14	12
MED12	X	70344816	70345006	15	23
MED12	X	70345191	70345355	16	19
MED12	X	70345503	70345573	17	10
MED12	X	70345876	70346014	18	13
MED12	X	70346181	70346344	19	13
MED12	X	70346809	70346992	20	18
MED12	X	70347176	70347327	21	18
MED12	X	70347733	70347980	22	15
MED12	X	70348136	70348300	23	16
MED12	X	70348438	70348578	24	16
MED12	X	70348954	70349075	25	23
