chromosome	start	end	germlineStatus	bafCount	observedBAF	minorAlleleCopyNumber	minorAlleleCopyNumberDeviation	observedTumorRatio	observedNormalRatio	unnormalisedObservedNormalRatio	majorAlleleCopyNumber	majorAlleleCopyNumberDeviation	deviationPenalty	tumorCopyNumber	fittedTumorCopyNumber	fittedBAF	refNormalisedCopyNumber	ratioSupport	support	depthWindowCount	tumorBAF	gcContent	eventPenalty	minStart	maxStart
1	5726001	5730000	NOISE	0	0.0000	4.0156	0.1000	2.5687	2.2581	2.2467	4.0156	0.1000	0.0000	8.0311	0.0000	0.0000	8.0057	true	NONE	4	0.5000	0.5250	3.0125	5726001	5726001
1	5730001	5736000	NOISE	0	0.0000	9.3598	0.9783	5.9787	5.7945	5.7654	9.3598	0.9783	0.0000	18.7196	0.0000	0.0000	18.6227	true	NONE	6	0.5000	0.4465	7.2878	5730001	5730001
1	5736001	7906000	DIPLOID	1007	0.7109	0.8080	0.7795	0.9028	0.9979	0.9936	2.0016	0.1000	0.6253	2.8095	0.0000	0.0000	2.8096	true	NONE	1898	0.7124	0.5018	1.4774	5726001	5736001
1	7906001	9319000	DIPLOID	392	0.7091	0.7959	0.8071	0.8840	1.0069	1.0032	1.9547	0.2275	0.7337	2.7506	0.0000	0.0000	2.7505	true	NONE	1327	0.7106	0.4555	1.4635	7906001	7906001
1	9319001	9404000	AMPLIFICATION	11	0.6104	1.8669	0.6043	1.5371	1.5273	1.5227	2.9306	0.3419	0.5776	4.7975	0.0000	0.0000	4.7869	true	NONE	72	0.6109	0.5347	1.8255	9319001	9320001
1	9404001	11496000	DIPLOID	736	0.7079	0.7970	0.8049	0.8815	0.9956	0.9955	1.9458	0.2705	0.7612	2.7428	0.0000	0.0000	2.7429	true	NONE	1911	0.7094	0.4855	1.4595	9319001	9404001
1	11496001	12913000	DIPLOID	605	0.7130	0.8030	0.7913	0.9039	1.0109	1.0111	2.0098	0.1000	0.6355	2.8128	0.0000	0.0000	2.8126	true	NONE	1272	0.7145	0.4895	1.4827	11496001	11496001
1	12913001	13188000	AMPLIFICATION	12	0.7278	1.2863	0.9323	1.5195	1.5820	1.5811	3.4562	0.9964	1.4037	4.7425	0.0000	0.0000	4.7308	true	NONE	7	0.7288	0.4086	2.0970	12913001	13178001
1	13188001	13970000	DIPLOID	177	0.7108	0.7677	0.8617	0.8581	0.9622	0.9619	1.9017	0.4695	0.9462	2.6694	0.0000	0.0000	2.6702	true	NONE	184	0.7124	0.4711	1.4536	12913001	13188001
1	13970001	13971000	DIPLOID	18	0.7488	0.6406	0.9782	0.8264	0.8621	0.8620	1.9295	0.3472	0.9925	2.5701	0.0000	0.0000	2.5729	true	NONE	1	0.7508	0.4190	1.5156	13970001	13970001
1	13971001	16850000	DIPLOID	1837	0.7091	0.8022	0.7931	0.8909	0.9988	0.9970	1.9700	0.1517	0.6699	2.7722	0.0000	0.0000	2.7723	true	NONE	2649	0.7106	0.4692	1.4671	13971001	13971001
1	16850001	16968000	NOISE	2	0.6137	5.3241	0.9614	4.4049	4.8506	4.8341	8.4624	0.9968	1.2017	13.7865	0.0000	0.0000	13.7087	true	NONE	14	0.6138	0.4806	5.3146	16850001	16931001
1	16968001	17005000	AMPLIFICATION	5	0.6944	0.9119	0.4262	0.9625	1.1570	1.1531	2.0848	0.4116	0.5818	2.9967	0.0000	0.0000	2.9935	true	NONE	1	0.6957	0.5000	1.4692	16968001	17004001
1	17005001	17052000	NOISE	2	0.6948	2.9383	0.3062	3.0821	3.0473	3.0370	6.7020	0.9427	0.8678	9.6403	0.0000	0.0000	9.5990	true	NONE	15	0.6952	0.5640	3.6561	17005001	17014001
1	17052001	17055000	NOISE	0	0.0000	8.6217	0.9842	5.5078	5.9514	5.9320	8.6217	0.9842	0.0000	17.2435	0.0000	0.0000	17.1434	true	NONE	2	0.5000	0.4535	6.6974	17052001	17053001
1	17055001	17228000	AMPLIFICATION	4	0.7810	1.0091	0.1000	1.4844	1.4576	1.4528	3.6234	0.9837	0.8463	4.6325	0.0000	0.0000	4.6233	true	NONE	8	0.7822	0.4417	2.0530	17055001	17207001
1	17228001	17236000	AMPLIFICATION	1	0.7970	1.5551	0.9955	2.4598	2.1084	2.1013	6.1349	0.6106	1.2801	7.6900	0.0000	0.0000	7.6676	true	NONE	6	0.7978	0.4690	3.2319	17228001	17230001
1	17236001	17275000	AMPLIFICATION	1	0.9252	0.3393	0.9696	1.4905	1.4312	1.4265	4.3121	0.9536	1.7794	4.6515	0.0000	0.0000	4.6428	true	NONE	18	0.9270	0.5394	2.5891	17236001	17236001
1	17275001	17676000	DIPLOID	311	0.7113	0.8097	0.7753	0.9060	0.9942	0.9907	2.0098	0.1000	0.6226	2.8196	0.0000	0.0000	2.8197	true	NONE	369	0.7128	0.5031	1.4800	16850001	17276001
1	17676001	17678000	HET_DELETION	0	0.0000	1.1735	0.7318	0.3809	0.5959	0.5938	0.0000	1.5000	0.0000	1.1735	0.0000	0.0000	1.1817	true	NONE	2	0.0000	0.4865	1.4694	17676001	17676001
1	17678001	21823000	DIPLOID	2128	0.7108	0.8059	0.7844	0.9002	0.9899	0.9883	1.9956	0.1000	0.6286	2.8015	0.0000	0.0000	2.8017	true	NONE	3910	0.7123	0.4794	1.4759	17676001	17678001
1	21823001	21827000	HET_DELETION	0	0.0000	0.8135	0.7658	0.2660	0.5510	0.5507	0.0000	1.5000	0.0000	0.8135	0.0000	0.0000	0.8226	true	NONE	4	0.0000	0.4657	1.4746	21823001	21823001
1	21827001	25585000	DIPLOID	1577	0.7125	0.8023	0.7929	0.9015	1.0061	1.0073	2.0032	0.1000	0.6362	2.8055	0.0000	0.0000	2.8053	true	NONE	3486	0.7140	0.4797	1.4804	21823001	21830001
1	25585001	25602000	HET_DELETION	0	0.0000	0.8110	0.7721	0.2652	0.5839	0.5858	0.0000	1.5000	0.0000	0.8110	0.0000	0.0000	0.8194	true	NONE	1	0.0000	0.5280	1.4756	25585001	25601001
1	25602001	26460000	DIPLOID	440	0.7157	0.8041	0.7886	0.9139	1.0037	1.0069	2.0402	0.2024	0.7093	2.8443	0.0000	0.0000	2.8443	true	NONE	685	0.7173	0.4784	1.4944	25585001	25665001
1	26460001	26465000	HET_DELETION	1	0.6353	0.6920	0.9506	0.6142	0.5105	0.5123	1.2129	0.8258	1.1285	1.9049	0.0000	0.0000	1.9148	true	NONE	5	0.6367	0.4242	1.2084	26460001	26460001
1	26465001	29571000	DIPLOID	705	0.7083	0.7965	0.8059	0.8822	0.9903	0.9961	1.9485	0.2577	0.7533	2.7450	0.0000	0.0000	2.7452	true	NONE	2871	0.7098	0.4721	1.4608	26460001	26465001
1	29571001	30739000	DIPLOID	547	0.7083	0.8202	0.7488	0.9081	0.9962	1.0005	2.0060	0.1000	0.6012	2.8261	0.0000	0.0000	2.8262	true	NONE	974	0.7098	0.4815	1.4743	29571001	29571001
1	30739001	30740000	HET_DELETION	0	0.0000	0.9765	0.1190	0.3180	0.4537	0.4553	0.0000	1.5000	0.0000	0.9765	0.0000	0.0000	0.9876	true	NONE	1	0.0000	0.5100	1.4094	30739001	30739001
1	30740001	31509000	DIPLOID	423	0.7091	0.8303	0.7210	0.9217	1.0171	1.0196	2.0386	0.1945	0.6491	2.8689	0.0000	0.0000	2.8686	true	NONE	712	0.7106	0.4815	1.4833	30739001	30740001
1	31509001	31686000	DIPLOID	100	0.7085	0.7600	0.8743	0.8427	0.9627	0.9646	1.8612	0.6243	1.0617	2.6212	0.0000	0.0000	2.6219	true	NONE	167	0.7101	0.4702	1.4405	31509001	31509001
1	31686001	32367000	DIPLOID	452	0.7116	0.8157	0.7605	0.9135	1.0114	1.0143	2.0274	0.1388	0.6399	2.8431	0.0000	0.0000	2.8428	true	NONE	631	0.7131	0.4821	1.4847	31686001	31686001
1	32367001	33269000	DIPLOID	36	0.7114	0.7794	0.8407	0.8728	0.9954	0.9992	1.9361	0.3166	0.8233	2.7155	0.0000	0.0000	2.7156	true	NONE	847	0.7130	0.4695	1.4627	32367001	32367001
1	33269001	34454000	DIPLOID	529	0.7093	0.8335	0.7121	0.9258	1.0060	1.0103	2.0482	0.2414	0.6763	2.8816	0.0000	0.0000	2.8815	true	NONE	1115	0.7108	0.4615	1.4859	33269001	33271001
1	34454001	39342000	DIPLOID	1518	0.7071	0.8174	0.7559	0.9014	0.9949	1.0032	1.9877	0.1000	0.6052	2.8051	0.0000	0.0000	2.8053	true	NONE	4631	0.7086	0.4573	1.4681	34454001	34454001
1	39342001	39537000	DIPLOID	45	0.7111	0.7560	0.8805	0.8460	0.9527	0.9616	1.8755	0.5729	1.0336	2.6315	0.0000	0.0000	2.6325	true	NONE	187	0.7127	0.4500	1.4478	39342001	39342001
1	39537001	41440000	DIPLOID	803	0.7125	0.7974	0.8039	0.8961	1.0016	1.0137	1.9911	0.1000	0.6440	2.7885	0.0000	0.0000	2.7885	true	NONE	1742	0.7140	0.4476	1.4775	39537001	39537001
1	41440001	41992000	DIPLOID	286	0.7143	0.8199	0.7494	0.9269	1.0170	1.0329	2.0651	0.3223	0.7655	2.8851	0.0000	0.0000	2.8847	true	NONE	509	0.7158	0.4627	1.4981	41440001	41440001
1	41992001	41996000	HET_DELETION	1	0.7800	0.3629	0.9794	0.5409	0.5008	0.5087	1.3122	0.9536	1.5078	1.6750	0.0000	0.0000	1.6851	true	NONE	4	0.7834	0.5770	1.3797	41992001	41992001
1	41996001	42664000	DIPLOID	231	0.7103	0.8374	0.7006	0.9333	1.0288	1.0445	2.0678	0.3346	0.7353	2.9051	0.0000	0.0000	2.9046	true	NONE	632	0.7118	0.4532	1.4922	41992001	41996001
1	42664001	45156000	DIPLOID	948	0.7105	0.8123	0.7690	0.9063	0.9980	1.0088	2.0082	0.1000	0.6174	2.8205	0.0000	0.0000	2.8205	true	NONE	2352	0.7120	0.4565	1.4784	42664001	42664001
1	45156001	46302000	DIPLOID	545	0.7083	0.7994	0.7994	0.8854	1.0026	1.0107	1.9556	0.2232	0.7243	2.7550	0.0000	0.0000	2.7549	true	NONE	1032	0.7098	0.4395	1.4625	45156001	45156001
1	46302001	47645000	DIPLOID	900	0.7158	0.8025	0.7923	0.9123	1.0156	1.0250	2.0366	0.1848	0.6994	2.8392	0.0000	0.0000	2.8388	true	NONE	1068	0.7173	0.4489	1.4936	46302001	46302001
1	47645001	49292000	DIPLOID	605	0.7069	0.8322	0.7158	0.9168	0.9776	0.9842	2.0213	0.1079	0.5823	2.8534	0.0000	0.0000	2.8539	true	NONE	1538	0.7084	0.4464	1.4756	47645001	47645001
1	49292001	50497000	DIPLOID	8	0.7126	0.7919	0.8158	0.8903	0.9744	0.9811	1.9785	0.1094	0.6592	2.7704	0.0000	0.0000	2.7709	true	NONE	1079	0.7142	0.3766	1.4746	49292001	49292001
1	50497001	53594000	DIPLOID	441	0.7079	0.8135	0.7660	0.8995	1.0114	1.0121	1.9859	0.1000	0.6130	2.7993	0.0000	0.0000	2.7991	true	NONE	2944	0.7094	0.4146	1.4689	50497001	50497001
1	53594001	53596000	HET_DELETION	0	0.0000	0.7349	0.9092	0.4754	0.6573	0.6538	0.7349	1.3068	0.0000	1.4699	0.0000	0.0000	1.4768	true	NONE	2	0.5000	0.5300	1.2120	53594001	53594001
1	53596001	54868000	DIPLOID	364	0.7097	0.8228	0.7417	0.9154	1.0177	1.0144	2.0262	0.1327	0.6206	2.8490	0.0000	0.0000	2.8487	true	NONE	1218	0.7112	0.4758	1.4813	53594001	53596001
1	54868001	55092000	DIPLOID	91	0.7143	0.7822	0.8354	0.8847	0.9690	0.9687	1.9708	0.1480	0.7024	2.7530	0.0000	0.0000	2.7536	true	NONE	200	0.7159	0.5039	1.4754	54868001	54868001
1	55092001	55096000	HET_DELETION	0	0.0000	0.7589	0.8761	0.2485	0.4690	0.4690	0.0000	1.5000	0.0000	0.7589	0.0000	0.0000	0.7696	true	NONE	4	0.0000	0.4993	1.4965	55092001	55092001
1	55096001	58744000	DIPLOID	2120	0.7073	0.8213	0.7459	0.9062	0.9852	0.9798	1.9989	0.1000	0.5983	2.8202	0.0000	0.0000	2.8205	true	NONE	3465	0.7088	0.4150	1.4711	55092001	55101001
1	58744001	58745000	HET_DELETION	0	0.0000	0.4547	0.9963	0.1515	0.1643	0.1629	0.0000	1.5000	0.0000	0.4547	0.0000	0.0000	0.4715	true	NONE	1	0.0000	0.4140	1.6181	58744001	58744001
1	58745001	60262000	DIPLOID	706	0.7104	0.8147	0.7629	0.9086	1.0264	1.0148	2.0132	0.1000	0.6130	2.8279	0.0000	0.0000	2.8273	true	NONE	1410	0.7119	0.4122	1.4794	58744001	58745001
1	60262001	62156000	DIPLOID	578	0.7085	0.8270	0.7303	0.9162	0.9903	0.9790	2.0245	0.1244	0.6055	2.8515	0.0000	0.0000	2.8517	true	NONE	1794	0.7100	0.3903	1.4790	60262001	60262001
1	62156001	62717000	DIPLOID	214	0.7181	0.7695	0.8587	0.8821	0.9755	0.9689	1.9752	0.1257	0.7069	2.7447	0.0000	0.0000	2.7451	true	NONE	533	0.7197	0.4133	1.4823	62156001	62156001
1	62717001	66355000	DIPLOID	1303	0.7065	0.8325	0.7149	0.9159	0.9975	0.9917	2.0181	0.1000	0.5757	2.8506	0.0000	0.0000	2.8506	true	NONE	3428	0.7080	0.4004	1.4743	62717001	62717001
1	66355001	68008000	DIPLOID	946	0.7098	0.8301	0.7216	0.9239	1.0377	1.0313	2.0455	0.2286	0.6745	2.8757	0.0000	0.0000	2.8749	true	NONE	1548	0.7113	0.3851	1.4862	66355001	66355001
1	68008001	68009000	HET_DELETION	0	0.0000	0.3910	0.9874	0.1312	0.1461	0.1450	0.0000	1.5000	0.0000	0.3910	0.0000	0.0000	0.4083	true	NONE	1	0.0000	0.4620	1.6436	68008001	68008001
1	68009001	68626000	DIPLOID	289	0.7143	0.8175	0.7557	0.9242	1.0156	1.0071	2.0591	0.2939	0.7497	2.8766	0.0000	0.0000	2.8763	true	NONE	594	0.7158	0.4112	1.4966	68008001	68009001
1	68626001	68629000	NOISE	0	0.0000	3.9602	0.2002	2.5334	2.3983	2.3746	3.9602	0.2002	0.0000	7.9205	0.0000	0.0000	7.8922	true	NONE	1	0.5000	0.5230	2.9682	68626001	68628001
1	68629001	72766000	DIPLOID	1406	0.7100	0.8159	0.7599	0.9087	0.9947	0.9822	2.0121	0.1000	0.6105	2.8280	0.0000	0.0000	2.8281	true	NONE	3915	0.7115	0.3657	1.4785	68626001	68629001
1	72766001	72767000	HET_DELETION	0	0.0000	0.7741	0.8506	0.2534	0.2562	0.2522	0.0000	1.5000	0.0000	0.7741	0.0000	0.0000	0.7891	true	NONE	1	0.0000	0.2980	1.4904	72766001	72766001
1	72767001	72779000	UNKNOWN	0	0.0000	0.0000	0.1000	0.0000	0.0000	0.0000	0.0000	1.5000	0.0000	0.0000	0.0000	0.0000	0.0000	true	NONE	12	1.0000	0.3403	1.8000	72767001	72767001
1	72779001	72781000	HOM_DELETION	0	0.0000	0.0000	0.1000	0.0010	0.0046	0.0046	-0.0169	1.5859	0.0000	-0.0169	0.0000	0.0000	0.0032	true	NONE	2	1.0000	0.4595	1.8068	72779001	72779001
1	72781001	72789000	UNKNOWN	0	0.0000	0.0000	0.1000	0.0000	0.0000	0.0000	0.0000	1.5000	0.0000	0.0000	0.0000	0.0000	0.0000	true	NONE	8	1.0000	0.4173	1.8000	72781001	72781001
1	72789001	72790000	HOM_DELETION	0	0.0000	0.0000	0.1000	0.0000	0.0095	0.0093	0.0000	1.5000	0.0000	0.0000	0.0000	0.0000	0.0000	true	NONE	1	1.0000	0.3090	1.8000	72789001	72789001
1	72790001	72811000	HOM_DELETION	0	0.0000	0.0000	0.1000	0.0000	0.0000	0.0000	0.0000	1.5000	0.0000	0.0000	0.0000	0.0000	0.0000	true	NONE	21	1.0000	0.3348	1.8000	72790001	72790001
1	72811001	72812000	HET_DELETION	0	0.0000	0.3791	0.9844	0.1274	0.1351	0.1329	0.0000	1.5000	0.0000	0.3791	0.0000	0.0000	0.3966	true	NONE	1	0.0000	0.3550	1.6484	72811001	72811001
1	72812001	77294000	DIPLOID	2235	0.7105	0.8160	0.7596	0.9104	0.9909	0.9755	2.0174	0.1000	0.6108	2.8334	0.0000	0.0000	2.8335	true	NONE	4194	0.7120	0.3642	1.4805	72766001	72812001
1	77294001	79847000	DIPLOID	1384	0.7126	0.8127	0.7679	0.9134	1.0286	1.0096	2.0300	0.1520	0.6556	2.8428	0.0000	0.0000	2.8422	true	NONE	2389	0.7141	0.3753	1.4869	77294001	77294001
1	79847001	81856000	DIPLOID	797	0.7111	0.8070	0.7820	0.9023	0.9793	0.9683	2.0010	0.1000	0.6272	2.8080	0.0000	0.0000	2.8084	true	NONE	1877	0.7126	0.3513	1.4776	79847001	79847001
1	81856001	81857000	AMPLIFICATION	0	0.0000	3.3091	0.9514	2.1179	1.9635	1.9462	3.3091	0.9514	0.0000	6.6181	0.0000	0.0000	6.5987	true	NONE	1	0.5000	0.3480	2.4473	81856001	81856001
1	81857001	84175000	DIPLOID	1179	0.7087	0.8156	0.7607	0.9043	0.9707	0.9630	1.9987	0.1000	0.6100	2.8142	0.0000	0.0000	2.8148	true	NONE	1893	0.7102	0.3678	1.4732	81856001	81857001
1	84175001	84712000	DIPLOID	411	0.7071	0.8473	0.6700	0.9340	1.0084	1.0005	2.0598	0.2974	0.6841	2.9072	0.0000	0.0000	2.9070	true	NONE	512	0.7085	0.3652	1.4850	84175001	84175001
1	84712001	84716000	HET_DELETION	0	0.0000	1.0195	0.1000	0.6570	0.4792	0.4756	1.0195	0.1000	0.0000	2.0391	0.0000	0.0000	2.0496	true	NONE	4	0.5000	0.3535	1.0156	84712001	84712001
1	84716001	85975000	DIPLOID	491	0.7115	0.8264	0.7319	0.9251	1.0216	1.0156	2.0530	0.2647	0.7091	2.8794	0.0000	0.0000	2.8790	true	NONE	1223	0.7130	0.3974	1.4906	84712001	84716001
1	85975001	86006000	AMPLIFICATION	2	0.7854	1.4747	0.9975	2.2080	2.0327	2.0213	5.4257	0.9934	1.5638	6.9004	0.0000	0.0000	6.8795	true	NONE	26	0.7863	0.3879	2.9602	85975001	85980001
1	86006001	87288000	DIPLOID	551	0.7097	0.8221	0.7437	0.9146	1.0146	1.0116	2.0244	0.1238	0.6156	2.8465	0.0000	0.0000	2.8462	true	NONE	1145	0.7112	0.3764	1.4809	85975001	86006001
1	87288001	87337011	DIPLOID	0	0.0000	1.3737	0.9829	0.8830	0.9826	0.9824	1.3737	0.9829	0.0000	2.7475	0.0000	0.0000	2.7478	true	NONE	49	0.5000	0.4108	1.2990	87288001	87288001
1	87337012	87431000	DIPLOID	0	0.0000	1.0039	0.1000	0.6470	1.0231	1.0230	1.0039	0.1000	0.0000	2.0078	0.0000	0.0000	2.0073	true	BND	87	0.5000	0.3731	1.0031	87337012	87337012
1	87431001	92265000	DIPLOID	2563	1.0000	-0.0101	0.1000	0.6522	1.0016	1.0082	2.0343	0.1733	0.2733	2.0242	0.0000	0.0000	2.0242	true	NONE	4520	1.0050	0.3895	1.8178	87431001	87431001
1	92265001	93315000	DIPLOID	151	1.0000	-0.0101	0.1000	0.6324	1.0075	1.0068	1.9723	0.1405	0.2405	1.9622	0.0000	0.0000	1.9620	true	NONE	966	1.0051	0.3977	1.7929	92265001	92265001
1	93315001	94288000	DIPLOID	554	1.0000	-0.0101	0.1000	0.6520	1.0324	1.0285	2.0335	0.1694	0.2694	2.0234	0.0000	0.0000	2.0228	true	NONE	917	1.0050	0.4037	1.8175	93315001	93315001
1	94288001	94289000	HET_DELETION	1	1.0000	0.0000	0.1000	0.2423	0.6813	0.6781	0.7393	1.2949	1.3949	0.7393	0.0000	0.0000	0.7457	true	NONE	1	1.0000	0.4940	1.5043	94288001	94288001
1	94289001	94291000	HET_DELETION	0	0.0000	0.0000	0.1000	0.0000	0.5237	0.5213	0.0000	1.5000	0.0000	0.0000	0.0000	0.0000	0.0000	true	NONE	2	1.0000	0.4985	1.8000	94289001	94289001
1	94291001	95404000	DIPLOID	850	1.0000	-0.0101	0.1000	0.6591	1.0069	1.0021	2.0556	0.2774	0.3774	2.0455	0.0000	0.0000	2.0454	true	NONE	1034	1.0049	0.4166	1.8263	94288001	94291001
1	95404001	96125000	DIPLOID	429	1.0000	-0.0101	0.1000	0.6525	0.9772	0.9720	2.0351	0.1772	0.2772	2.0250	0.0000	0.0000	2.0255	true	NONE	686	1.0050	0.3915	1.8181	95404001	95404001
1	96125001	99675000	DIPLOID	2290	1.0000	-0.0101	0.1000	0.6440	0.9752	0.9716	2.0083	0.1000	0.2000	1.9982	0.0000	0.0000	1.9987	true	NONE	3350	1.0051	0.3619	1.8074	96125001	96125001
1	99675001	102797000	DIPLOID	1960	1.0000	-0.0101	0.1000	0.6445	1.0426	1.0284	2.0100	0.1000	0.2000	1.9999	0.0000	0.0000	1.9991	true	NONE	2951	1.0051	0.3725	1.8080	99675001	99675001
1	102797001	106016000	DIPLOID	1654	1.0000	-0.0101	0.1000	0.6390	0.9765	0.9693	1.9928	0.1000	0.2000	1.9827	0.0000	0.0000	1.9832	true	NONE	2623	1.0051	0.3434	1.8012	102797001	102797001
1	106016001	106023000	HET_DELETION	0	0.0000	0.9301	0.3446	0.5999	0.4455	0.4442	0.9301	0.4495	0.0000	1.8601	0.0000	0.0000	1.8713	true	NONE	7	0.5000	0.3299	1.0559	106016001	106016001
1	106023001	107662000	DIPLOID	1123	1.0000	-0.0101	0.1000	0.6351	0.9608	0.9591	1.9807	0.1000	0.2000	1.9706	0.0000	0.0000	1.9714	true	NONE	1552	1.0051	0.3514	1.7963	106016001	106023001
1	107662001	109367000	DIPLOID	546	1.0000	-0.0101	0.1000	0.6451	1.0058	1.0021	2.0117	0.1000	0.2000	2.0016	0.0000	0.0000	2.0015	true	NONE	1400	1.0050	0.3854	1.8087	107662001	107662001
1	109367001	109372000	HET_DELETION	0	0.0000	1.0418	0.2103	0.6712	0.4994	0.4991	1.0418	0.2103	0.0000	2.0836	0.0000	0.0000	2.0937	true	NONE	5	0.5000	0.4328	1.0334	109367001	109367001
1	109372001	110187000	DIPLOID	188	1.0000	-0.0101	0.1000	0.6475	1.0104	1.0110	2.0194	0.1000	0.2000	2.0093	0.0000	0.0000	2.0091	true	NONE	769	1.0050	0.4462	1.8118	109367001	109372001
1	110187001	110191000	HET_DELETION	0	0.0000	0.9946	0.1000	0.6411	0.5101	0.5109	0.9946	0.1000	0.0000	1.9893	0.0000	0.0000	1.9992	true	NONE	4	0.5000	0.3927	1.0043	110187001	110187001
1	110191001	110222000	DIPLOID	25	1.0000	-0.0101	0.1000	0.6293	0.9883	0.9899	1.9624	0.1897	0.2897	1.9523	0.0000	0.0000	1.9525	true	NONE	23	1.0052	0.4651	1.7890	110187001	110191001
1	110222001	110241000	HET_DELETION	0	0.0000	0.0000	0.1000	0.0000	0.4732	0.4739	0.0000	1.5000	0.0000	0.0000	0.0000	0.0000	0.0000	true	NONE	4	1.0000	0.5040	1.8000	110222001	110233001
1	110241001	111376000	DIPLOID	589	1.0000	-0.0101	0.1000	0.6562	1.0288	1.0314	2.0467	0.2343	0.3343	2.0366	0.0000	0.0000	2.0360	true	NONE	1062	1.0050	0.4616	1.8227	110222001	110246001
1	111376001	111388000	HET_DELETION	1	1.0000	0.0000	0.1000	0.0000	0.5494	0.5521	0.0000	1.5000	1.6000	0.0000	0.0000	0.0000	0.0000	true	NONE	9	1.0000	0.3287	1.8000	111376001	111379001
1	111388001	112692000	DIPLOID	999	1.0000	-0.0101	0.1000	0.6511	1.0343	1.0435	2.0307	0.1553	0.2553	2.0206	0.0000	0.0000	2.0199	true	NONE	1219	1.0050	0.4192	1.8163	111376001	111389001
1	112692001	112696000	HET_DELETION	0	0.0000	0.0000	0.1000	0.0000	0.4822	0.4882	0.0000	1.5000	0.0000	0.0000	0.0000	0.0000	0.0000	true	NONE	4	1.0000	0.4662	1.8000	112692001	112692001
1	112696001	112697000	HET_DELETION	0	0.0000	0.0000	0.1000	0.0027	0.4969	0.5031	-0.0117	1.5597	0.0000	-0.0117	0.0000	0.0000	-0.0016	true	NONE	1	1.0000	0.4570	1.8047	112696001	112696001
1	112697001	112704000	HET_DELETION	0	0.0000	0.0000	0.1000	0.0000	0.5000	0.5062	0.0000	1.5000	0.0000	0.0000	0.0000	0.0000	0.0000	true	NONE	1	1.0000	0.5010	1.8000	112697001	112703001
1	112704001	112705000	HET_DELETION	0	0.0000	0.4982	0.9985	0.1654	0.7320	0.7411	0.0000	1.5000	0.0000	0.4982	0.0000	0.0000	0.5036	true	NONE	1	0.0000	0.4140	1.6007	112704001	112704001
1	112705001	115808000	DIPLOID	1285	1.0000	-0.0101	0.1000	0.6411	0.9931	1.0064	1.9994	0.1000	0.2000	1.9893	0.0000	0.0000	1.9894	true	NONE	2881	1.0051	0.4107	1.8038	112692001	112705001
1	115808001	118516186	DIPLOID	704	1.0000	-0.0101	0.1000	0.6588	0.9978	1.0083	2.0548	0.2736	0.3736	2.0447	0.0000	0.0000	2.0448	true	NONE	2494	1.0049	0.4176	1.8260	115808001	115808001
